date,d,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2011-01-29,d_1,2011_04,Saturday,6,1,2011,,,,,0,0,0
2011-01-30,d_2,2011_04,Sunday,7,1,2011,,,,,0,0,0
2011-01-31,d_3,2011_05,Monday,1,1,2011,,,,,0,0,0
2011-02-01,d_4,2011_05,Tuesday,2,2,2011,,,,,0,0,0
2011-02-02,d_5,2011_05,Wednesday,3,2,2011,,,,,0,0,0
2011-02-03,d_6,2011_05,Thursday,4,2,2011,,,,,0,0,0
2011-02-04,d_7,2011_05,Friday,5,2,2011,,,,,0,0,0
2011-02-05,d_8,2011_05,Saturday,6,2,2011,,,,,0,0,0
2011-02-06,d_9,2011_05,Sunday,7,2,2011,,,,,0,0,0
2011-02-07,d_10,2011_06,Monday,1,2,2011,,,,,0,0,0
2011-02-08,d_11,2011_06,Tuesday,2,2,2011,,,,,0,0,0
2011-02-09,d_12,2011_06,Wednesday,3,2,2011,,,,,0,0,0
2011-02-10,d_13,2011_06,Thursday,4,2,2011,,,,,0,0,0
2011-02-11,d_14,2011_06,Friday,5,2,2011,,,,,0,0,0
2011-02-12,d_15,2011_06,Saturday,6,2,2011,,,,,0,0,0
2011-02-13,d_16,2011_06,Sunday,7,2,2011,,,,,0,0,0
2011-02-14,d_17,2011_07,Monday,1,2,2011,,,,,0,0,0
2011-02-15,d_18,2011_07,Tuesday,2,2,2011,,,,,0,0,0
2011-02-16,d_19,2011_07,Wednesday,3,2,2011,,,,,0,0,0
2011-02-17,d_20,2011_07,Thursday,4,2,2011,,,,,0,0,0
2011-02-18,d_21,2011_07,Friday,5,2,2011,,,,,0,0,0
2011-02-19,d_22,2011_07,Saturday,6,2,2011,,,,,0,0,0
2011-02-20,d_23,2011_07,Sunday,7,2,2011,,,,,0,0,0
2011-02-21,d_24,2011_08,Monday,1,2,2011,,,,,0,0,0
2011-02-22,d_25,2011_08,Tuesday,2,2,2011,,,,,0,0,0
2011-02-23,d_26,2011_08,Wednesday,3,2,2011,,,,,0,0,0
2011-02-24,d_27,2011_08,Thursday,4,2,2011,,,,,0,0,0
2011-02-25,d_28,2011_08,Friday,5,2,2011,,,,,0,0,0
2011-02-26,d_29,2011_08,Saturday,6,2,2011,,,,,0,0,0
2011-02-27,d_30,2011_08,Sunday,7,2,2011,,,,,0,0,0
2011-02-28,d_31,2011_09,Monday,1,2,2011,,,,,0,0,0
2011-03-01,d_32,2011_09,Tuesday,2,3,2011,,,,,0,0,0
2011-03-02,d_33,2011_09,Wednesday,3,3,2011,,,,,0,0,0
2011-03-03,d_34,2011_09,Thursday,4,3,2011,,,,,0,0,0
2011-03-04,d_35,2011_09,Friday,5,3,2011,,,,,0,0,0
2011-03-05,d_36,2011_09,Saturday,6,3,2011,,,,,0,0,0
2011-03-06,d_37,2011_09,Sunday,7,3,2011,,,,,0,0,0
2011-03-07,d_38,2011_10,Monday,1,3,2011,,,,,0,0,0
2011-03-08,d_39,2011_10,Tuesday,2,3,2011,,,,,0,0,0
2011-03-09,d_40,2011_10,Wednesday,3,3,2011,,,,,0,0,0
2011-03-10,d_41,2011_10,Thursday,4,3,2011,,,,,0,0,0
2011-03-11,d_42,2011_10,Friday,5,3,2011,,,,,0,0,0
2011-03-12,d_43,2011_10,Saturday,6,3,2011,,,,,0,0,0
2011-03-13,d_44,2011_10,Sunday,7,3,2011,,,,,0,0,0
2011-03-14,d_45,2011_11,Monday,1,3,2011,,,,,0,0,0
2011-03-15,d_46,2011_11,Tuesday,2,3,2011,,,,,0,0,0
2011-03-16,d_47,2011_11,Wednesday,3,3,2011,,,,,0,0,0
2011-03-17,d_48,2011_11,Thursday,4,3,2011,,,,,0,0,0
2011-03-18,d_49,2011_11,Friday,5,3,2011,,,,,0,0,0
2011-03-19,d_50,2011_11,Saturday,6,3,2011,,,,,0,0,0
2011-03-20,d_51,2011_11,Sunday,7,3,2011,,,,,0,0,0
2011-03-21,d_52,2011_12,Monday,1,3,2011,,,,,0,0,0
2011-03-22,d_53,2011_12,Tuesday,2,3,2011,,,,,0,0,0
2011-03-23,d_54,2011_12,Wednesday,3,3,2011,,,,,0,0,0
2011-03-24,d_55,2011_12,Thursday,4,3,2011,,,,,0,0,0
2011-03-25,d_56,2011_12,Friday,5,3,2011,,,,,0,0,0
2011-03-26,d_57,2011_12,Saturday,6,3,2011,,,,,0,0,0
2011-03-27,d_58,2011_12,Sunday,7,3,2011,,,,,0,0,0
2011-03-28,d_59,2011_13,Monday,1,3,2011,,,,,0,0,0
2011-03-29,d_60,2011_13,Tuesday,2,3,2011,,,,,0,0,0
2011-03-30,d_61,2011_13,Wednesday,3,3,2011,,,,,0,0,0
2011-03-31,d_62,2011_13,Thursday,4,3,2011,,,,,0,0,0
2011-04-01,d_63,2011_13,Friday,5,4,2011,,,,,0,0,0
2011-04-02,d_64,2011_13,Saturday,6,4,2011,,,,,0,0,0
2011-04-03,d_65,2011_13,Sunday,7,4,2011,,,,,0,0,0
2011-04-04,d_66,2011_14,Monday,1,4,2011,,,,,0,0,0
2011-04-05,d_67,2011_14,Tuesday,2,4,2011,,,,,0,0,0
2011-04-06,d_68,2011_14,Wednesday,3,4,2011,,,,,0,0,0
2011-04-07,d_69,2011_14,Thursday,4,4,2011,,,,,0,0,0
2011-04-08,d_70,2011_14,Friday,5,4,2011,,,,,0,0,0
2011-04-09,d_71,2011_14,Saturday,6,4,2011,,,,,0,0,0
2011-04-10,d_72,2011_14,Sunday,7,4,2011,,,,,0,0,0
2011-04-11,d_73,2011_15,Monday,1,4,2011,,,,,0,0,0
2011-04-12,d_74,2011_15,Tuesday,2,4,2011,,,,,0,0,0
2011-04-13,d_75,2011_15,Wednesday,3,4,2011,,,,,0,0,0
2011-04-14,d_76,2011_15,Thursday,4,4,2011,,,,,0,0,0
2011-04-15,d_77,2011_15,Friday,5,4,2011,,,,,0,0,0
2011-04-16,d_78,2011_15,Saturday,6,4,2011,,,,,0,0,0
2011-04-17,d_79,2011_15,Sunday,7,4,2011,,,,,0,0,0
2011-04-18,d_80,2011_16,Monday,1,4,2011,,,,,0,0,0
2011-04-19,d_81,2011_16,Tuesday,2,4,2011,,,,,0,0,0
2011-04-20,d_82,2011_16,Wednesday,3,4,2011,,,,,0,0,0
2011-04-21,d_83,2011_16,Thursday,4,4,2011,,,,,0,0,0
2011-04-22,d_84,2011_16,Friday,5,4,2011,,,,,0,0,0
2011-04-23,d_85,2011_16,Saturday,6,4,2011,,,,,0,0,0
2011-04-24,d_86,2011_16,Sunday,7,4,2011,,,,,0,0,0
2011-04-25,d_87,2011_17,Monday,1,4,2011,,,,,0,0,0
2011-04-26,d_88,2011_17,Tuesday,2,4,2011,,,,,0,0,0
2011-04-27,d_89,2011_17,Wednesday,3,4,2011,,,,,0,0,0
2011-04-28,d_90,2011_17,Thursday,4,4,2011,,,,,0,0,0
2011-04-29,d_91,2011_17,Friday,5,4,2011,,,,,0,0,0
2011-04-30,d_92,2011_17,Saturday,6,4,2011,,,,,0,0,0
2011-05-01,d_93,2011_17,Sunday,7,5,2011,,,,,0,0,0
2011-05-02,d_94,2011_18,Monday,1,5,2011,,,,,0,0,0
2011-05-03,d_95,2011_18,Tuesday,2,5,2011,,,,,0,0,0
2011-05-04,d_96,2011_18,Wednesday,3,5,2011,,,,,0,0,0
2011-05-05,d_97,2011_18,Thursday,4,5,2011,,,,,0,0,0
2011-05-06,d_98,2011_18,Friday,5,5,2011,,,,,0,0,0
2011-05-07,d_99,2011_18,Saturday,6,5,2011,,,,,0,0,0
2011-05-08,d_100,2011_18,Sunday,7,5,2011,,,,,0,0,0
